Account,Header,Description,Task Length,Delay,Start,Launched,Status,Civil,Mech,Elect
A.227.18,Reactor instrumentation and control,Instrument Ranks,43.92237014,14.43925198,21,FALSE,0,0,0,1
A.227.19,Reactor instrumentation and control,Alarm System,15.10452233,7.974855861,21,FALSE,0,0,0,1
A.227.2,Reactor instrumentation and control,Process Computer,27.74768769,25.56606208,21,FALSE,0,0,0,1
A.227.3,Reactor instrumentation and control,Monitoring Systems,29.24688044,5.764816596,35,FALSE,0,0,0,1
A.227.4,Reactor instrumentation and control,Plant Control Systems,8.747897647,21.47545567,35,FALSE,0,0,0,1
A.227.5,Reactor instrumentation and control,Reactor Plant I&C Tubing & Fitting,54.63486526,4.178724596,21,FALSE,0,0,0,1
A.227.9,Reactor instrumentation and control,TMI Instrumentation,41.43478798,5.147892425,21,FALSE,0,0,0,1
A.228.1,Reactor misc. equipment,Field Painting,3.443253173,15.204186,41,FALSE,0,1,0,0
A.228.2,Reactor misc. equipment,Qualification of Welders,24.25705689,28.82722166,6,FALSE,0,0,1,0
A.228.4,Reactor misc. equipment,Reactor Plant Insulation,12.36397837,22.80340963,34,FALSE,0,0,1,0
A.229.1,NuScale Equipment,Containment vacuum pump,37.12607398,22.23840289,39,FALSE,0,0,1,0
A.229.2,NuScale Equipment,Containment flooding & drain,45.88484149,18.16074831,39,FALSE,0,0,1,0
A.229.3,HTGR Equipment,Reactor Cavity Cooling System,39.6865796,35.78461125,35,FALSE,0,0,1,0
A.229.4,HTGR Equipment,Refueling Equipment,28.36682717,27.56605862,35,FALSE,0,0,1,0
A.229.5,HTGR Equipment,He Purification Equipment,46.59082852,16.34487205,35,FALSE,0,0,1,0
A.229.6,HTGR Equipment,He Circulator,55.49063758,21.47025333,35,FALSE,0,0,1,0
A.231.,Turbine Generator,Turbine Generator,11.870103,18.91956437,22,FALSE,0,0.5,0.5,0
A.233.,Condensing Systems,Condensing Systems,47.15416096,0.740378934,22,FALSE,0,0.5,0.5,0
A.234.,Feedwater Heating System,Feedwater Heating System,45.47972254,24.46324627,22,FALSE,0,0.5,0.5,0
A.235.,Other Turbine Plant Equipment,Other Turbine Plant Equipment,42.38388462,20.00378814,22,FALSE,0,0.5,0.5,0
A.236.,Instrumentation & Control,Instrumentation & Control,6.51092343,5.988956994,22,FALSE,0,0.5,0.5,0
A.237.,Turbine Plant Miscellaneous Items,Turbine Plant Miscellaneous Items,35.77170371,17.53132045,22,FALSE,0,0.5,0.5,0
A.241.,Electrical plant equipment,Switchgear,27.17232437,31.28746014,27,FALSE,0,0,0,1
A.242.,Electrical plant equipment,Station Service Equipment,38.33708255,5.829151709,27,FALSE,0,0,0,1
A.243.,Electrical plant equipment,Switchboards,17.56679383,11.86205005,27,FALSE,0,0,0,1
A.244.,Electrical plant equipment,Protective Equipment,25.24216806,18.07931661,27,FALSE,0,0,0,1
