Account,Dependency 1,Fraction 1,Building,Parallelism,Hours run0_unit0,Hours run0_unit1,Hours run0_unit2,Hours run0_unit3,Hours run0_unit4,Hours run0_unit5,Hours run0_unit6,Hours run0_unit7,Hours run0_unit8,Hours run0_unit9
A.218A.238,A.218A.141,1,A.218A.,1,1185.157716,1029.902055,948.6910004,894.984886,855.4299549,824.4124793,799.0666728,777.7418659,759.4049316,743.3686308
A.218A.24,A.218A.141,1,A.218A.,1,36466.39126,31689.294,29190.49232,27537.99649,26320.92169,25366.53782,24586.66685,23930.51895,23366.30559,22872.88095
A.218B.13,A.211.,0.9,A.218B.,1,38847.19454,33758.21206,31096.2696,29335.88628,28039.35158,27022.65828,26191.8714,25492.88518,24891.83567,24366.19652
A.218B.141,A.218B.13,0.9,A.218B.,1,15191.80834,13201.68145,12160.68685,11472.26118,10965.23083,10567.63687,10242.74455,9969.394963,9734.345072,9528.785589
A.218B.142,A.218B.141,0.5,A.218B.,1,25818.86617,22436.5947,20667.3978,19497.40079,18635.68977,17959.96869,17407.8059,16943.24129,16543.768,16194.41441
A.218B.143,A.218B.141,0.9,A.218B.,1,7951.971781,6910.263478,6365.36721,6005.018962,5739.619943,5531.504105,5361.443078,5218.361478,5095.327402,4987.72973
A.218B.144,A.218B.141,0.9,A.218B.,1,13491.11323,11723.7774,10799.32024,10187.96256,9737.693325,9384.609285,9096.088068,8853.339461,8644.602975,8462.0555
A.218B.145,A.218B.141,0.9,A.218B.,1,5904.668549,5131.156969,4726.548912,4458.975406,4261.905637,4107.371004,3981.093645,3874.849628,3783.491728,3703.595999
A.218B.146,A.218B.141,0.9,A.218B.,1,39100.85572,33978.64362,31299.31943,29527.44131,28222.4406,27199.10859,26362.8969,25659.3465,25054.37231,24525.30089
A.218B.147,A.218B.146,0.9,A.218B.,1,6387.937552,5551.117733,5113.394433,4823.92131,4610.722319,4443.539762,4306.927202,4191.987618,4093.15251,4006.717695
A.218B.148,A.218B.141,0.9,A.218B.,1,10350.74338,8994.795996,8285.527705,7816.47772,7471.019107,7200.123575,6978.762371,6792.519139,6632.370916,6492.315604
A.218B.149,A.218B.141,0.9,A.218B.,1,6997.735167,6081.03186,5601.523144,5284.416686,5050.86555,4867.723613,4718.069909,4592.158101,4483.888114,4389.202163
